ProductId,ProductName,PriceTableName,ListPrice,SalePrice,DESCR_TIPO_FAST,CODPROD,VLRUNIT
1529,PSL339 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),4526,4526,Distribuição,1529,45.26
1530,PSL340 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),5276,5276,Distribuição,1530,52.76
1531,PSL408 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2516,2516,Distribuição,1531,25.16
1532,PSL419 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),5223,5223,Distribuição,1532,52.23
1533,PSL45 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1234,1234,Distribuição,1533,12.34
1534,PSL55 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),958,958,Distribuição,1534,9.58
1535,PSL 55M - TM5,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),987,987,Distribuição,1535,9.87
1536,PSL560 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1139,1139,Distribuição,1536,11.39
1537,PSL561 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1740,1740,Distribuição,1537,17.4
1538,PSL563 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1404,1404,Distribuição,1538,14.04
1539,PSL564 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1885,1885,Distribuição,1539,18.85
1540,PSL565 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1609,1609,Distribuição,1540,16.09
1541,PSL657 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2169,2169,Distribuição,1541,21.69
1542,PSL675 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2759,2759,Distribuição,1542,27.59
1543,PSL714 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2620,2620,Distribuição,1543,26.2
1544,PSL77 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1299,1299,Distribuição,1544,12.99
1545,PSL78 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1195,1195,Distribuição,1545,11.95
1546,PSL818 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1761,1761,Distribuição,1546,17.61
1547,PSL836 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),4231,4231,Distribuição,1547,42.31
1548,PSL958 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2864,2864,Distribuição,1548,28.64
2975,ACP001 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1589,1589,Distribuição,2975,15.89
2977,ACP003 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1012,1012,Distribuição,2977,10.12
2978,ACP004 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1633,1633,Distribuição,2978,16.33
2980,ACP100 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1209,1209,Distribuição,2980,12.09
